mass,rt,
446.20239,7.385982,
463.94904,7.385982,
542.92004,7.385982,
552.94421,7.385982,
575.95862,7.385982,
601.32166,7.385982,
602.32495,7.385982,
603.32825,7.385982,
708.14679,7.385982,
766.18945,7.385982,
787.06586,7.385982,
788.06708,7.385982,
878.24097,7.385982,
272.19415,7.3982654,
274.12967,7.3982654,
296.97681,7.3982654,
318.97885,7.3982654,
319.98209,7.3982654,
320.98502,7.3982654,
362.96863,7.3982654,
363.97205,7.3982654,
364.97299,7.3982654,
444.97147,7.3982654,
460.95224,7.3982654,
462.94775,7.3982654,
492.03174,7.3982654,
530.96521,7.3982654,
538.92761,7.3982654,
540.92505,7.3982654,
554.94006,7.3982654,
574.9552,7.3982654,
584.02197,7.3982654,
638.95172,7.3982654,
660.93402,7.3982654,
697.00513,7.3982654,
709.08832,7.3982654,
710.09003,7.3982654,
711.08771,7.3982654,
712.08881,7.3982654,
722.16107,7.3982654,
723.20111,7.3982654,
748.9292,7.3982654,
271.19086,7.4106362,
283.1907,7.4228674,
555.04053,7.4228674,
351.18359,7.4355237,
446.23849,7.4355237,
315.21671,7.4482508,
341.23206,7.4604654,
442.97128,7.4604654,
339.21658,7.4731112,
555.04034,7.4983716,
556.04071,7.4983716,
726.0882,7.4983716,
780.1889,7.4983716,
250.97522,7.5107987,
251.97862,7.5107987,
376.96774,7.5107987,
377.97107,7.5107987,
378.97211,7.5107987,
458.97089,7.5107987,
459.97467,7.5107987,
474.95142,7.5107987,
476.94666,7.5107987,
477.94904,7.5107987,
554.92438,7.5107987,
557.03741,7.5107987,
598.0202,7.5107987,
707.30231,7.5107987,
723.08777,7.5107987,
724.08923,7.5107987,
725.08643,7.5107987,
736.16254,7.5107987,
801.06488,7.5107987,
269.17511,7.523032,
270.1785,7.523032,
612.03821,7.523032,
737.20129,7.523032,
259.17279,7.5356632,
398.72855,7.5356632,
398.93527,7.5356632,
399.93854,7.5356632,
423.08908,7.5356632,
705.29626,7.5356632,
706.30017,7.5356632,
745.05548,7.5356632,
746.05774,7.5356632,
400.93045,7.5483862,
401.93445,7.5483862,
480.93945,7.5483862,
514.90851,7.5483862,
515.91248,7.5483862,
615.2948,7.5483862,
747.05457,7.5483862,
329.23242,7.5609779,
516.90576,7.5609779,
596.91241,7.5609779,
227.1646,7.5737425,
333.20941,7.5737425,
402.21249,7.5737425,
404.1918,7.5737425,
349.20422,7.5861258,
408.99026,7.5861258,
439.98798,7.5861258,
216.98863,7.598807,
236.995,7.598807,
257.00122,7.598807,
258.00421,7.598807,
341.00308,7.598807,
342.00635,7.598807,
403.21448,7.598807,
420.18683,7.598807,
423.00595,7.598807,
438.98572,7.598807,
440.98181,7.598807,
451.00693,7.598807,
453.00208,7.598807,
592.0462,7.598807,
687.12268,7.598807,
688.12482,7.598807,
689.12054,7.598807,
701.23547,7.598807,
357.98148,7.6110862,
229.00844,7.6110862,
292.98245,7.6110862,
293.98547,7.6110862,
334.21307,7.6110862,
356.97797,7.6110862,
424.96631,7.6110862,
454.96164,7.6110862,
456.95715,7.6110862,
457.95837,7.6110862,
544.95935,7.6110862,
546.95599,7.6110862,
548.94885,7.6110862,
578.03198,7.6110862,
703.09778,7.6110862,
704.09967,7.6110862,
705.09662,7.6110862,
716.17352,7.6110862,
717.21118,7.6110862,
